start_timestamp,end_timestamp,full_text
00:00:08.360,00:00:10.640,"Komt dan, Dunpert, reed dan"
00:00:10.640,00:00:11.960,Dunpert reed en
00:00:15.960,00:00:16.680,Dunpert reed en
00:01:02.960,00:01:03.960,Vijf reten!
00:01:03.960,00:01:04.960,Vijf reten!
00:01:21.960,00:01:23.960,En dat we ook gewoon lekker in onze eigen studio zitten.
00:02:29.960,00:02:30.960,Nou lekker! Leuk!
00:03:19.960,00:03:20.960,Vier reten!
00:03:20.960,00:03:21.960,Vier reten!
00:03:21.960,00:03:23.960,"Stempartij voor de dieren, vijf reten."
00:03:23.960,00:03:25.960,"Scharen, altijd vijf reten."
00:04:47.960,00:04:53.360,"Goed filmpje, goede skill, iets te lange intro, drie reten."
00:05:03.240,00:05:04.240,Vier reten.
00:05:53.660,00:05:55.660,Vijf reten natuurlijk voor Ichmar.
00:07:12.940,00:07:13.940,Twee reten.
00:07:18.980,00:07:19.980,Vijf reten nu.
00:08:32.140,00:08:33.140,dikke reten.
00:09:35.740,00:09:36.740,Vijf reten.
00:09:36.740,00:09:41.740,"Ja, ik ga meer reten geven, ik ga zes reten geven."
00:09:41.740,00:09:43.740,"Jawel, zes reten gewoon."
00:10:47.940,00:10:49.940,"Russische vrije tijdskunde, altijd vijf reten."
00:10:49.940,00:10:51.940,"Altijd vijf reten, ik geef maar drie."
00:10:52.540,00:10:54.540,"Altijd vijf reten, ik geef maar drie."
00:11:30.140,00:11:31.140,Vier reten.
00:12:44.940,00:12:45.940,Vijf reten.
00:14:51.580,00:14:53.180,"Tien reten, fucking leuk."
00:15:35.420,00:15:38.420,Ga lekker met je feministen zich in janken ergens anders heen.
00:15:45.420,00:15:46.420,Vijf reten.
00:15:46.420,00:15:49.860,"Mensen die zo primitief zijn, die verdienen echt vijf reten."
00:15:50.900,00:15:51.900,"Ja, ik krijg vijf reten."
00:16:01.900,00:16:07.900,Welkom bij de renegeurdersronde van Dumpert reten 100 XXXL.
00:16:24.940,00:16:27.940,We beginnen even met wat commenten van Dumpert reten 1.
00:16:35.940,00:16:38.940,Begon na tien seconden te skippen en heb geen reet voorbij zien komen.
00:16:45.940,00:16:46.940,Geen reten gezien.
00:16:46.980,00:16:47.980,Geen reten gezien.
00:16:56.980,00:16:58.980,Ook dit had net zo goed over seks kunnen gaan.
00:17:10.980,00:17:11.980,"Was dat Dumpert reten 1, comment?"
00:17:19.020,00:17:23.020,"Ik begin nu echt bang te worden dat 100, Dumpert reten 100, de laatste wordt."
00:17:29.020,00:17:31.020,Voor Dumpert reten 100 verwacht ik een spektakel.
00:18:08.100,00:18:12.100,Kwit zegt op 3.27 dat hij reten zo leuk vindt dat hij het wel 3 dagen
00:18:13.100,00:18:16.100,Zou dat wat met Dumpert reten 100 te maken kunnen hebben?
00:21:25.380,00:21:26.380,Dat is nu wel lekker.
00:22:20.460,00:22:21.460,Vijf reten.
00:22:55.460,00:22:56.460,Lekker wijf.
00:23:12.460,00:23:13.460,Nul reten.
00:23:14.500,00:23:15.500,Vijf reten.
00:25:09.660,00:25:10.660,We hebben echte reten nu.
00:25:11.660,00:25:13.660,Maar dan wil ik de hele tijd zes reten.
00:25:13.660,00:25:16.660,Ik geef deze vijf schuddende reten.
00:25:26.660,00:25:29.660,Een reet die een handstand doet.
00:25:29.660,00:25:31.660,Hebben jullie ook reten die heerlijk goed hebben gedaan?
00:26:20.740,00:26:21.740,Vijf reten.
00:26:21.740,00:26:22.740,"Lekker wijf, vijf reten."
00:27:12.780,00:27:13.780,Vier reten.
00:28:00.780,00:28:03.780,"4 reten, dit zijn feiten. Dit zijn gewoon feiten."
00:28:05.780,00:28:10.780,"In die zin zou ik kunnen zeggen 3 reten, maar het ontbreekt een beetje aan een boodschap."
00:28:10.780,00:28:12.780,"Om een lang lulverhaal kort te maken, 3 reten."
00:29:13.780,00:29:14.780,"Zaten-eerbek, 5 reten."
00:29:57.780,00:29:59.780,"Dan zet je toch lekker op stop, pussy."
00:30:13.780,00:30:15.780,Vijf reten.
00:30:18.780,00:30:20.780,Vijf reten.
00:30:25.780,00:30:27.780,"Vijf reten, dat weet hij nog."
00:33:02.780,00:33:03.780,Een reet.
00:33:06.780,00:33:07.780,Vijf reten.
00:33:34.780,00:33:35.780,Vijf dumperd reten.
00:33:35.780,00:33:36.780,Vijf dumperd reten.
00:33:36.780,00:33:40.780,"Want als elste zegt dat het dumperd reten zijn, zijn het fucking dumperd reten."
00:33:48.780,00:33:49.780,Vijf dumperd reten.
00:34:53.920,00:34:55.420,"Mostarchie, vijf reten."
00:35:00.420,00:35:01.420,Drie reten.
00:35:35.420,00:35:36.420,Vijf reten.
00:35:39.420,00:35:40.420,Vier reten.
00:35:41.420,00:35:42.420,Vijf reten krijg ik nu.
00:37:27.420,00:37:29.420,Ik wil één reet.
00:38:28.420,00:38:31.420,"Zoals John altijd zegt, goede techniek, vijf reten."
00:38:31.420,00:38:34.420,"Geweld tegen vrouwen, één reet."
00:38:46.420,00:38:48.420,En als het seks geweest is de spanning weg.
00:39:20.420,00:39:24.420,"Vincent5672 schrijft, wie kiest eigenlijk welke filmpjes jullie gaan raten?"
00:41:07.420,00:41:10.420,"Engelende Streep Piemel schrijft, ik ga mezelf even lekker aftreden."
00:44:30.420,00:44:32.420,"Ik zeg, zes reten."
00:44:34.420,00:44:35.420,Vier reten.
00:45:43.420,00:45:44.420,Vier reten.
00:45:44.420,00:45:45.420,Vijf reten.
00:46:31.420,00:46:33.420,Een reet voor alcohol in het verkeer.
00:47:35.420,00:47:37.420,Ik wou nog even vier reten zeggen.
00:47:37.420,00:47:38.420,Vier reten.
00:47:40.420,00:47:41.420,Min 1 reet.
00:48:12.420,00:48:13.420,Vier reten.
00:49:47.420,00:49:48.420,Vier reten voor Westland.
00:49:50.420,00:49:51.420,Twee reten.
00:51:00.420,00:51:01.420,Twee reten.
00:51:12.420,00:51:13.420,"Oh ja, en vier reten."
00:52:35.420,00:52:39.420,"Demonstraties, altijd één reet."
00:52:52.420,00:52:55.420,De beroemdste dumpert reet de kijker van Nederland.
00:53:01.420,00:53:05.420,"Dat weten de kijkers thuis niet, maar je ruikt echt fucking lekker."
00:53:42.420,00:53:45.420,De ideale vrouw van mij heeft een lekker kontje.
00:54:30.420,00:54:31.420,Vier reten.
00:54:34.420,00:54:35.420,Vijf reten.
00:54:40.420,00:54:42.420,"Dikke piemels, twee reten."
00:55:16.420,00:55:17.420,Vijf reten.
00:56:15.420,00:56:16.420,Vijf reten.
00:56:30.420,00:56:32.420,Vijf reten voor het goede dansen.
00:57:25.420,00:57:27.420,Ik reed dit filmpje één reet.
00:57:53.420,00:57:55.420,Vijf reten voor de titel.
01:01:15.420,01:01:17.420,Lekker kutje.
01:01:17.420,01:01:19.420,Lekker kutje?
01:02:02.420,01:02:08.420,"Dit is DumbitRate 100, het wordt zo episch dat we gewoon filmpjes meerdere keren gaan raten."
01:02:52.420,01:02:54.420,Omdat we dit filmpje nu twee keer raten.
01:03:01.420,01:03:02.420,Drie raten.
01:03:37.420,01:03:38.420,Vijf raten.
01:03:51.420,01:03:52.420,Drie raten.
01:04:46.420,01:04:47.420,Vier raten.
01:04:56.420,01:04:57.420,"Ja, drie raten."
01:05:59.420,01:06:00.420,Drie reten.
01:06:23.420,01:06:26.420,"Oké, dus nu moeten we reten in het Engels."
01:06:39.420,01:06:40.420,Nul reten.
01:06:40.420,01:06:42.420,Afstandsbediening in je reet.
01:06:42.420,01:06:43.420,Eén reet.
01:08:31.420,01:08:34.420,Ik wil ook vijf reten waar de chocolade van afdruikt.
01:08:39.420,01:08:40.420,Vier reten.
01:09:36.420,01:09:37.420,Gooi eens even lekker je haar los.
01:10:29.420,01:10:31.420,Dit was het einde van Dump het reten.
